Name	URL	Twitter	JLP-Nominierung	JLP	KIMI-Siegel
Mixtvision	https://mixtvision.de/	?	nein	nein	nein
Mons	https://monsverlag.de/	?	ja	ja	nein
Monterosa	https://www.monterosa-verlag.de/	?	nein	nein	ja
Moritz Verlag	https://www.moritzverlag.de		nein	nein	ja
Nagel & Kimche	https://nagel-kimche.ch/	?	ja	ja	nein
Nord Süd	https://nord-sued.com		ja	nein	nein
Novum	https://www.novumverlag.com/home.html	?	ja	ja	nein
Oetinger	https://www.oetinger.de		nein	nein	ja
Oetinger Dressler	https://www.oetinger.de/verlagsgruppe/dressler	?	ja	ja	nein
Oetinger Ellermann	https://www.oetinger.de/verlagsgruppe/ellermann	?	ja	nein	nein
Papierfresserchen	https://www.papierfresserchen.de/	?	nein	nein	ja
Patmos	https://www.verlagsgruppe-patmos.de/verlage/patmos-verlag	?	nein	nein	ja
Penguin Junior	https://www.penguinrandomhouse.de/Verlag/Penguin-JUNIOR/15000.rhd		nein	nein	ja
Prestel Junior	https://www.penguinrandomhouse.de/Verlag/Prestel-Junior/58700.rhd		ja	ja	nein
Querverlag	http://www.querverlag.de/index/	?	ja	nein	nein
Rauch (Karl)	https://karl-rauch-verlag.de/	?	ja	ja	nein
Ravensburger	https://www.ravensburger.de/start/index.html	?	ja	ja	nein
Reinhardt (Ernst)	https://www.reinhardt-verlag.de/	?	nein	nein	ja
Reprodukt	https://www.reprodukt.com/	?	ja	nein	nein
Rowohlt Rotfuchs	https://www.rowohlt.de/buch/kinder-und-jugendbuch	https://twitter.com/rowohlt 	ja	ja	nein
Schulz-Kirchner	https://www.skvshop.de/	?	nein	nein	ja
Schweizerisches Jugendschriftwerk	https://www.sjw.ch/	?	nein	nein	ja
Silberfisch Hörbuch	https://www.hoerbuch-hamburg.de/kinder-jugend		nein	nein	nein
Südpol 	https://www.suedpol-verlag.de/startseite.html		nein	nein	nein
Talisa	https://talisa-verlag.com/	?	nein	nein	ja
Thienemann-Esslinger	https://www.thienemann-esslinger.de		ja	ja	nein
Tulipan	https://tulipan-verlag.de/	?	ja	nein	nein
Tyrolia	https://www.tyroliaverlag.at/home	?	ja	ja	nein
Ueberreuter / Betz (Annette)	https://www.ueberreuter.de		ja	ja	nein
Ullmann Medien	https://www.ullmannmedien.com/	?	nein	nein	ja
Unionsverlag	http://www.unionsverlag.com/info/		ja	ja	nein
Urachhaus	https://www.urachhaus.de/	?	ja	nein	nein
Usborne	https://usborne.com/de		ja	ja	nein
Verbrecher	https://www.verbrecherverlag.de/		nein	nein	ja
Von Wegen	https://verlagvonwegen.de/	?	nein	nein	ja
Windy	https://windy-verlag.com/aktuelles		nein	nein	nein
Woow Books	https://www.w1-media.de/produkte?verlag=woowbooks		ja	ja	nein
Zuckersüß	https://www.zuckersuessverlag.de/	?	nein	nein	ja
